institution_name,year,country_code,ass_total,ass_trade,inc_trade,in_roa,rt_rwa,in_roe,in_trade,
Volksbank Rhein-Nahe-Hunsrück eG,2013,DE,"1280,649","281,188",0,"0,0054504","0,6995866939","0,049375",0,
Volksbank Rhein-Nahe-Hunsrück eG,2014,DE,"1338,5","237,502",0,"0,0053112","0,7068360105","0,047087",0,
Volksbank Rhein-Nahe-Hunsrück eG,2015,DE,"1406,111","256,241",0,"0,0048005","0,7373066564","0,0429504",0,
Frankfurter Volksbank eG,2010,DE,"7164,987","1581,862","0,314","0,0050303","0,5543934692","0,0548564","0,0012428",
Frankfurter Volksbank eG,2011,DE,"7961,514","1618,101","0,009","0,0049921",,"0,0525996","0,0000343",
Frankfurter Volksbank eG,2012,DE,"8116,253","1768,88","0,049","0,0046236","0,5375017265","0,0455826","0,0001926",
Frankfurter Volksbank eG,2013,DE,"8292,325","1767,962","0,084","0,0049577","0,5381482274","0,04674","0,0003355",
Frankfurter Volksbank eG,2014,DE,"8653,429","1996,978","0,086","0,004552","0,5362861358","0,0419805","0,0003364",
Frankfurter Volksbank eG,2015,DE,"8757,282","2332,327","0,084","0,0049348","0,5465565686","0,0444866","0,0003269",
GLS Gemeinschaftsbank eG,2010,DE,"1890,936","472,5681","0,005","0,00209",,"0,0433547","0,0001126",
GLS Gemeinschaftsbank eG,2011,DE,"2311,432","518,06","0,002","0,0012321",,"0,0226019","0,0000376",
GLS Gemeinschaftsbank eG,2012,DE,"2757,42","480,3019",0,"0,0025285","0,499330171","0,0418781",0,
GLS Gemeinschaftsbank eG,2013,DE,"3279,515","533,5969","-0,004","0,0030495","0,5120116847","0,0486577","-0,0000565",
GLS Gemeinschaftsbank eG,2014,DE,"3680,953","557,7089","0,011","0,0039237","0,5205649189","0,0561775","0,0001353",
Gladbacher Bank AG von 1922,2010,DE,"949,029","585,952",0,"0,0060567","0,3556677404","0,1643272",0,
Gladbacher Bank AG von 1922,2011,DE,"928,237","556,577","-0,261","0,0061741","0,3613172067","0,1431748","-0,0102253",
Gladbacher Bank AG von 1922,2012,DE,"879,429","491,4","-0,002","0,0068761","0,409640801","0,1347431","-0,0000804",
Gladbacher Bank AG von 1922,2013,DE,"810,996","429,222","0,003","0,0072454","0,4682205584","0,1181628","0,0001153",
Gladbacher Bank AG von 1922,2014,DE,"768,107","339,038","0,028","0,007788","0,4895151327","0,1127021","0,0010981",
Gladbacher Bank AG von 1922,2015,DE,"728,937","308,035","0,138","0,0081063","0,5500516506","0,1047175","0,0054105",
Airbus Group Bank GmbH,2010,DE,"390,672","60,04999","0,008","0,0037116","0,8156151452","0,0398845","0,0008237",
Airbus Group Bank GmbH,2011,DE,"373,494","50,46199",0,"0,0040054","0,8536951062","0,0406643",0,
Airbus Group Bank GmbH,2012,DE,"351,99","46,731",0,"0,0035228","0,8981079008","0,0330455",0,
Airbus Group Bank GmbH,2013,DE,"329,92","17,02101","0,015","0,0048103","0,9667949806","0,0405333","0,0017749",
Airbus Group Bank GmbH,2014,DE,"354,792","17,62898","0,015","0,00042","0,7722299263","0,0014433","0,0017311",
Sparda-Bank Hamburg eG,2010,DE,"3061,055","1367,416","-0,739","0,0036546","0,4561378348","0,0839077","-0,0089162",
Sparda-Bank Hamburg eG,2011,DE,"3111,847","1367,03","-0,923","0,0021961","0,427121899","0,0491793","-0,0115415",
Sparda-Bank Hamburg eG,2012,DE,"3051,119","1332,656","-0,645","0,0040654","0,424352508","0,0866879","-0,0075607",
Sparda-Bank Hamburg eG,2013,DE,"3089,956","1218,527",0,"0,002813","0,4273889337","0,047865",0,
Sparda-Bank Hamburg eG,2014,DE,"3210,141","1254,614",0,"0,0023142","0,4164985276","0,0389886",0,
Sparda-Bank Hamburg eG,2015,DE,"3356,782","1276,745",0,"0,003562","0,4154344846","0,0606293",0,
Sparda-Bank West eG,2010,DE,"7500,993","2459,643","-0,057","0,0037642","0,4394035563","0,0990577","-0,0002788",
Sparda-Bank West eG,2011,DE,"7683,386","2215,622","-0,095","0,005081","0,431347976","0,1231114","-0,0004708",
Sparda-Bank West eG,2012,DE,"8008,61","2172,891","0,023","0,0065554","0,4120159428","0,1338896","0,0001246",
Sparda-Bank West eG,2013,DE,"8305,872","2245,273","-0,015","0,0044547","0,3987269488","0,0879323","-0,0000825",
Sparda-Bank West eG,2014,DE,"8439,071",2149,0,"0,0051414","0,4048579518","0,0972523",0,
Sparda-Bank West eG,2015,DE,"8618,76","2235,109",0,"0,0069336","0,3715304754","0,1297312",0,
Sparda-Bank Nürnberg eG,2010,DE,"3167,329","1320,904",0,"0,0037817","0,3353181813","0,0877445",0,
Sparda-Bank Nürnberg eG,2011,DE,"3221,419","1253,685",0,"0,0051965","0,3347437884","0,1166786",0,
Sparda-Bank Nürnberg eG,2012,DE,"3135,161","1223,131",0,"0,0040355","0,371599736","0,0718721",0,
Sparda-Bank Nürnberg eG,2013,DE,"3222,294","1262,876",0,"0,0092717","0,3920964381","0,1556098",0,
Sparda-Bank Nürnberg eG,2014,DE,"3347,345","1204,25",0,"0,0050831","0,399302731","0,0783794",0,
Sparda-Bank Nürnberg eG,2015,DE,"3485,086","1214,934",0,"0,0049677","0,4058221232","0,0738685",0,
Hamburger Volksbank eG,2010,DE,"1869,84","654,7029",0,"0,0040913","0,4817658195","0,0668245",0,
Hamburger Volksbank eG,2011,DE,"2152,291","802,8581","0,038","0,0031887","0,4461524952","0,0504391","0,0005425",
Hamburger Volksbank eG,2012,DE,"2276,624","978,1801","0,064","0,0048814","0,4438207627","0,0688606","0,0008293",
Hamburger Volksbank eG,2013,DE,"2461,483","1168,733","0,022","0,0033598","0,3929947922","0,0490289","0,0003009",
